,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
1380, Marcel Walz ,"[' Sarah French', ' Jed Rowen', ' Devanny Pinn', ' Heather Grace Hancock']", 36,,['English'],['United States'],"['Hollywood Media Bridge', 'Silent Partners', 'Wolfpack Entertainment']",https://m.media-amazon.com/images/M/MV5BN2RlODZlZTEtMjU2Ni00ZGIzLWJlYWEtNGMwYmFhOTU2NDJmXkEyXkFqcGdeQXVyODcxNTAwNjI@._V1_.jpg,2021-08-13,Pretty Boy,['7.2'],['88 min'],['Horror'],"[""A masked killer named Pretty Boy takes a blind woman from her home in the Hollywood hills and crashes a Valentine's Day party where the bloodshed continues.""]",
1381, Orlando Herrera ,"[' Alicia Jaziz', ' Julián Cerati', ' Gimena Gómez', ' Giselle Torres']", 50,,['Spanish'],['Ecuador'],"['2btube', 'Touche Films']",https://m.media-amazon.com/images/M/MV5BMGQwOWQ5OWYtNGIxYi00MDk1LWI3OGYtNDBhMjRhNTYzNzZhXkEyXkFqcGdeQXVyOTg5ODQzODU@._V1_.jpg,2021-10-14,Misfit,['8.0'],['90 min'],"['Comedy, Family, Musical']","['From the creators of Enchufe.TV, this is the story of JULIA, a teenager from Latin America who has lived in the U.S. most of her life. She is popular, a successful Youtuber and wants to ... See full summary »']",
1382, Trey Fanjoy ,"[' Ashanti', ' Ava Grace', ' Aliyah Mastin', ' Frankie McNellis']", 105,,['English'],['United States'],"['Build a Bear Entertainment', 'Foundation Media Partners']",https://m.media-amazon.com/images/M/MV5BOWU0OWY2ZmItOGM0Yi00NWNkLWEyZmMtY2JiN2NjYTMyMjZjXkEyXkFqcGdeQXVyNzc2NTMwNzQ@._V1_.jpg,2021-10-19,Honey Girls,['5.5'],['90 min'],"['Comedy, Family, Music']","['Mega pop star, Fancy G (Ashanti), hosts a contest to find the next big solo artist. But the young contestants realize they are ""better together"" and secretly form a band called Honey Girls and become a huge hit cloaked in mystery.']",['PG']
1383, Dylan McCormick ,"[' Donal Logue', ' Kate Walsh', ' Trieste Kelly Dunn', ' Alexa Swinton']", 221,,['English'],['United States'],['River Bend Pictures'],https://m.media-amazon.com/images/M/MV5BYjJmN2UwOTktZDJkZC00MzZmLTk0MmMtMzYxYjY3ZmQ0YmQ5XkEyXkFqcGdeQXVyMjA0MDU4MDg@._V1_.jpg,2021-03-05,Sometime Other Than Now,['5.8'],['89 min'],"['Drama, Romance']","['Seeking redemption, a middle aged man drives cross the country in search of the daughter he abandoned as a child.']",
1384, Drew Michael , Drew Michael, 199,,['English'],['United States'],"['Rotten Science', 'HBO Films']",https://m.media-amazon.com/images/M/MV5BNTcxMjAzZjEtYWNhZS00NjcxLThmYWUtMDY3ZDE4ODdjODJhXkEyXkFqcGdeQXVyNjk3NTM2ODg@._V1_.jpg,2021-12-04,Drew Michael: Red Blue Green,['7.1'],['58 min'],['Comedy'],"['Follows Drew Michael and his issues with relationships, social media, and comedy as therapy.']",['TV-MA']
1385, Renny Harlin ,"[' Ilona Chevakova', ' Johanna Harlin', ' Sami Hedberg', ' Eino Heiskanen']", 305,,['Finnish'],['Finland'],['Solar Films'],https://m.media-amazon.com/images/M/MV5BYjdiNDE1ODgtNTNkYS00MjdhLTliMGQtZDdlMmFiNmUyYzM5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg,2021-07-28,Class Reunion 3,['4.0'],['104 min'],['Comedy'],['Three former school friends who are brought back together by a later-in-life event.'],
1386, Aku Louhimies ,"[' Jasper Pääkkönen', ' Nanna Blondell', ' Sverrir Gudnason', ' Cathy Belton']", 253,,"['Finnish', 'Swedish', 'Serbian', 'English', 'Russian', 'French', 'Spanish']",['Finland'],"['Cinematic', 'Stellar Film']",https://m.media-amazon.com/images/M/MV5BMmZmYjJhYzgtYTBlMS00NWU1LWE0OTAtZThlMzc1ZWU0YjJlXkEyXkFqcGdeQXVyNTE3MzI1MTQ@._V1_.jpg,2021-11-19,Omerta 12/6,['6.1'],['114 min'],"['Action, Thriller']","[""Finland's Independence Day celebration on December 6 is crudely interrupted by an attack on the Presidential Palace. A set of distinguished guests are taken as hostages. Security service ... See full summary »""]",
1387, Renuka Shahane ,"[' Kajol', ' Tanvi Azmi', ' Mithila Palkar', ' Kunaal Roy Kapur']"," 2,822",,['Hindi'],['India'],"['Ajay Devgn Ffilms', 'Alchemy Productons', 'Banijay Asia']",https://m.media-amazon.com/images/M/MV5BNzZkYzBhYjAtYTc1MC00NDVkLWJiY2EtNjcwNjJiMTEyYjE5XkEyXkFqcGdeQXVyMTEzMTU3MjI5._V1_.jpg,2021-01-15,Tribhanga,['6.1'],['95 min'],"['Drama, Family']",['The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.'],['TV-MA']
1388,"[' Vesela Kazakova', ' Mina Mileva ']","[' Maria Bakalova', ' Vesela Kazakova', ' Bilyana Kazakova', ' Iossif Surchadzhiev']", 178,,['Bulgarian'],"['Bulgaria', 'France']","['Activist38', 'Ici et Là Productions', 'Arte France Cinéma']",https://m.media-amazon.com/images/M/MV5BODIyYTg4NDQtOTFkMy00ZGI4LTllZjAtOTVlNTljNWYwNDQwXkEyXkFqcGdeQXVyMjg1NzQzMjQ@._V1_.jpg,2021-09-17,Women Do Cry,['4.8'],['107 min'],['Drama'],"['A family full of women in a society where ""gender"" is not a familiar word.']",
1389, Michael Arcell ,"[' Brady Amaya', ' Richard Karn', ' Katherine Kelly Lang', ' Noah Nelson']", 175,,['English'],['United States'],"['Genius Minds', 'Vision Builders Entertainment']",https://m.media-amazon.com/images/M/MV5BNmRhOWFkZWYtY2UwNS00YTNmLTljNGQtYzE0NmQ5ZGQ2YjhmXkEyXkFqcGdeQXVyMTA5NDAxOTc1._V1_.jpg,2021-07-23,The Christmas Dance,['4.8'],['94 min'],"['Drama, Family, Romance']","[""Traumatized by her past, Christmas is not at the top of Sarah's list this time of year. However, waltzing through life's unexpected emergencies, she is taught the Christmas Dance.""]",
1390,"[' Daniel Dahlstrom', ' David Gere ']","[' Michael Madsen', ' Chelsea Vale', ' Vinny Marseglia', ' Chris Whitcomb']"," 1,586",,['English'],['United States'],"['Hyperborea Films', 'LaSalle Productions', 'Shadow Vale Productions']",https://m.media-amazon.com/images/M/MV5BMDM5YzIzYzMtOWE1YS00ODNlLThmNTQtOWI0NWVlMzIwY2FkXkEyXkFqcGdeQXVyODIwNTUxMzI@._V1_.jpg,2021-09-03,Burial Ground Massacre,['5.1'],['100 min'],['Horror'],"['A group of college students spend a night at an old, eerie manor, only to realize that a terrifying stalker is watching their every move as he begins plans to repossess an ancient Native American artifact located inside.']",
1391, Conor McMahon ,"[' Karl Rice', ' Eoin Duffy', ' Anthony Head', ' Hilda Fay']", 84,,['English'],['Ireland'],"['Workshed Films', 'BAI', 'MPI Media Group']",,2021-09-24,Let the Wrong One In,['6.2'],['96 min'],"['Comedy, Horror']",['A young supermarket worker discovers his older brother is a vampire and has to choose whether to help him or slay him.'],
1392, Dmitriy Dyachenko ,"[' Viktor Khorinyak', ' Mila Sivatskaya', ' Ekaterina Vilkova', ' Elena Yakovleva']", 822,,['Russian'],['Russia'],"['Start.', 'Yellow, Black & White']",https://m.media-amazon.com/images/M/MV5BZGZjOTdlYTUtODQwNy00OGQ4LWI5ZDgtNzdhZWNiMmM2Zjg1XkEyXkFqcGdeQXVyMjUwNjY5MzA@._V1_.jpg,2021-01-01,The Last Warrior: Root of Evil,['5.9'],['121 min'],"['Adventure, Comedy, Family']","['Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern... See full summary »']",
1393, Toni Garcia ,"[' Miguel Angel Perez', ' Eduardo Jover', ' Gloria Cámara', ' Antonio Ramírez']", 281,,"['Spanish', 'English']",['Spain'],"['Apolo Films', 'Apolo Films', 'Cosmos-Maya']",https://m.media-amazon.com/images/M/MV5BN2MzN2FhOGMtYzNkMy00MDkyLTk2Y2MtODcxMDEyOWJkZWU0XkEyXkFqcGdeQXVyMTA5MzI2ODE4._V1_.jpg,2021-01-01,Dogtanian and the Three Muskehounds,['5.3'],['84 min'],['Animation'],"[""Dogtanian is a young swordsman who dreams of joining the legendary Muskehounds. After proving his skills and earning their trust, he and the Muskehounds must defend the King from the evil Cardinal Richelieu's secret plot to seize power.""]",
1394, Nick Lyon ,"[' Eric Roberts', ' William Baldwin', ' Geoff Meed', ' Danny Trejo']", 541,,"['English', 'German']",['United States'],"['The Asylum', 'Condor Entertainment Group', 'Safier Entertainment']",https://m.media-amazon.com/images/M/MV5BY2ZlNGYyOTYtZDVjOS00MTIyLThiMWItOTViYTcxYmNjMWY4XkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_.jpg,2021-07-16,The Rebels of PT-218,['4.7'],['88 min'],"['Action, Adventure, Drama']","['PT-218: THE REBELS OF WWII not only tells a true story, but gives us never seen details of what happened in 1943. At the height of WWII, the Atlantic Ocean becomes a deadly battleground as ... See full summary »']",['Not Rated']
1395, Radha Krishna Jagarlamudi ,"[' Panja Vaisshnav Tej', ' Rakul Preet Singh', ' Mahesh Achanta', ' Annapoorna']", 610,,['Telugu'],['India'],['First Frame Entertainment'],https://m.media-amazon.com/images/M/MV5BNzIxY2YxNDgtMjhmZC00NzA1LWI1Y2UtN2Y3MzRlN2YyODkzXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg,2021-10-08,Konda Polam,['6.0'],['142 min'],"['Action, Adventure, Drama']",['Kondapolam tells the story of Nallamala forest-based shepherds who are responsible for protecting their sheep from the dangerous attacks of the predators and the red sanders of the region.'],
1396,"[' Baron Davis', ' Steven V. Vasquez Jr.', ' Carl Reid ']","[' David Arquette', ' Tom Lister Jr.', ' Snoop Dogg', ' Tasie Lawrence']", 267,,['English'],['United States'],"['Dow Jazz Films', 'Her Pictures', 'No Label Productions']",https://m.media-amazon.com/images/M/MV5BNWE2MGUzZWQtMDdmMC00MGZmLTljOWQtY2ExODg5MDNiN2NmXkEyXkFqcGdeQXVyNjkzNDAzMzI@._V1_.jpg,2021-06-11,DOMINO: Battle of the Bones,['3.8'],['110 min'],['Comedy'],"['Domino: Battle of the Bones is a feel-good comedy about an elderly black man who teams up with his awkward, white step-grandson to defeat his rival in a domino tournament.']",['R']
1397, Dina Amer ,"[' Lorenza Grimaudo', ' Ilonna Grimaudo', ' Dina Amer', ' Jonathan Barbezieux']", 138,,"['English', 'Arabic']","['United States', 'France', 'Egypt']","['The Othrs', 'Artemis Rising Foundation', ""D'Artagnan""]",https://m.media-amazon.com/images/M/MV5BZjIwN2M0YmYtZTcyOS00Y2RiLWIxYjYtZTgyNDA5MGFkODI2XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,2021-09-08,You Resemble Me,['7.8'],['90 min'],['Drama'],"['When two young sisters are torn apart, the eldest loses her identity and transforms into someone new in the name of belonging and resistance.']",
1398, Sylvie Ohayon ,"[' Nathalie Baye', ' Lyna Khoudri', ' Pascale Arbillot', ' Claude Perron']", 86,,['French'],['France'],"['Les films du 24', 'Les Productions du Renard', 'Jouror Productions']",https://m.media-amazon.com/images/M/MV5BNTk1OTU3NWItNTQxMi00ZWI2LWIzZjQtMGE0OGM2YjMxMGE2XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg,2021-11-10,Haute couture,['6.5'],['100 min'],['Drama'],"['Esther is at the end of her career as Head Seamstress at Dior Avenue Montaigne workshop. One day, she gets her handbag stolen in the metro by a 20 year old woman, Jade. Instead of calling ... See full summary »']",
1399, Stephen S. Campanelli ,"[' Eric McCormack', ' Louriza Tronco', ' Jordan Burtchett', ' Daniel Doheny']", 11,,['English'],['Canada'],['Suitcase Charlie Films'],https://m.media-amazon.com/images/M/MV5BZThhOWNjZGEtY2EwNi00YzY1LTg3NjgtZmYyODljYjRhNDUwXkEyXkFqcGdeQXVyNjkwMjcyODQ@._V1_.jpg,2021-01-01,Drinkwater,['8.8'],,['Comedy'],"['A coming-of-age story in the John Hughes tradition. Mike Drinkwater is lost. His father, Hank, is hardly the role model Mike deserves. A young woman moves to town, and their friendship gives them the courage to overcome their challenges.']",
1400, Lance Sutton ,"[' Joseph Moreland', ' Jennifer Mkoma', ' Lance Sutton', ' Michael Gladden']",,,['English'],['United States'],,,2022-03-18,Never Alone Movie,,,['Drama'],,
1401, Candice T. Cain ,"[' Catherine Mary Stewart', ' Robert Picardo', ' Eliza Roberts', ' Al Sapienza']", 56,,['English'],['United States'],"['Gemelli Films', 'Gold Hive Media', 'Heartly Creations']",https://m.media-amazon.com/images/M/MV5BMzgwMTJmOGQtYjYyYy00MzYzLWJmMTEtMzVhN2FiOGQ3M2Y2XkEyXkFqcGdeQXVyMTc2NzM0NQ@@._V1_.jpg,2021-07-01,Deck the Heart,['4.9'],,['Romance'],"[""When an EVP inherits a manor, he's expected to host his family for Christmas. Since he doesn't have time or Christmas spirit, he hires an event planner. As Merry decorates and plans, she wins him over and helps him love Christmas again.""]",
1402, Ahmed El Gendy ,"[' Maged El-Kidwani', ' Sayed Ragab', ' Bayoumi Fouad', ' Sherief El Desouky']"," 1,868",,['Arabic'],['Egypt'],['MISR International Films'],https://m.media-amazon.com/images/M/MV5BYmNiODMwMTctMWZmNy00MjkzLTg5ZDAtYjI0NjM4Nzg1ZjY5XkEyXkFqcGdeQXVyMjg2OTA1NzA@._V1_.jpg,2021-06-03,A Stand Worthy of Men,['7.3'],['120 min'],"['Comedy, Drama']","['A comedy about a group of friends as they get reunited to help one of their own find his way out of major trouble. As the situation gets more complicated, they are forced to take a trip to a coastal town.']",
1403, Edwin ,"[' Marthino Lio', ' Ladya Cheryl', ' Reza Rahadian', ' Ratu Felisha']", 318,,['Indonesian'],"['Indonesia', 'Singapore', 'Germany']","['Palari Films', 'Phoenix Films', 'E&W Films']",https://m.media-amazon.com/images/M/MV5BYzI2MWZkNzEtNGU0NC00MjQ2LTgzMGItOGJiOWY0ZGQ1MWI4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,2021-12-02,"Vengeance Is Mine, All Others Pay Cash",['7.3'],['114 min'],"['Action, Comedy, Drama']","['In a society ruled by machismo, a hibernating ""bird"" becomes a serious matter. In a life of brutality, the sleeping bird is an allegory for a peaceful and serene life, even when the whole world tries desperately to rouse it.']",['TV-MA']
1404, Jez Alsop ,"[' Nicholas Clarke', ' Nisaro Karim', ' Dean Kilbey', ' Darren Tassell']", 56,,['English'],['United Kingdom'],,https://m.media-amazon.com/images/M/MV5BZWYwMjJiOTItNzgyNC00OTUyLWFmM2YtODI2OGMwYTFjMTg5XkEyXkFqcGdeQXVyNTU2OTIyMDU@._V1_.jpg,2021-11-22,Fixed,['6.1'],,['Thriller'],"[""On the night low-level gambler, Daz Clemance is leaving Birmingham to start a crime-free life with his girlfriend in Spain, he's accused of fixing a bareknuckle fight in a warehouse. He is beaten, stabbed and locked in a cupboard.""]",
1405, Eric Swinderman ,"[' Breckin Meyer', ' Emily Kinney', ' Giselle Eisenberg', ' Rick Montgomery Jr.']", 265,,['English'],['United States'],['Anhedonia Pictures'],https://m.media-amazon.com/images/M/MV5BMmJmMDk1NTUtY2JlZS00ZjJmLWFiMjUtMGUyMjFlNzIwZWRkXkEyXkFqcGdeQXVyNDkwNTE3Mw@@._V1_.jpg,2021-04-06,The Enormity of Life,['6.0'],['102 min'],['Comedy'],"['After a failed suicide attempt, a man receives a substantial inheritance from a long lost relative and meets a struggling single mom with an eccentric young daughter. Together they embark on a journey of self discovery and healing.']",
1406, Anthony Rolando Brown ,"[' Djuan Artist', ' Cassandra Ayers', ' Antonette Brown', ' Stephanie Elliot']", 85,,['English'],['United States'],['NVAsion Films'],https://m.media-amazon.com/images/M/MV5BMTFjODYxMjUtMGZjNC00YzE0LWJkMmYtN2MyMWIwYTAwNTM2XkEyXkFqcGdeQXVyMjQ2NjEwNDA@._V1_.jpg,2021-03-30,The Towel Man,['2.2'],['68 min'],"['Horror, Thriller']",['A serial rapist terrorizes a small town and becomes infamously known as the Towel Man.'],
1407, Chris Blake ,"[' Alan Tudyk', ' Sarah Levy', ' Connor Paolo', ' Andy Buckley']", 73,,['English'],['United States'],"['MonkeyRat Productions', 'Downbeat Films', '3rd Films']",https://m.media-amazon.com/images/M/MV5BOWQ1ZDU3ZDktZGRhYy00M2QxLWE1M2MtZTY0ZDZjOWJlNTU2XkEyXkFqcGdeQXVyNTMzNjE1MzQ@._V1_.jpg,2021-10-05,Distancing Socially,['5.4'],['97 min'],"['Comedy, Drama, Romance']","['Composed of a series of short vignettes that share a telecommunications application as a common thread, Distancing Socially focuses on loosely connected human interactions taking place virtually across a world in lock down.']",['R']
1408, Kaarthikk Sundar ,"[' Harish Kalyan', ' Abishek Kumar', ' Anish Kuruvilla', ' Ashwin Kumar Lakshmikanthan']"," 1,450",,['Tamil'],['India'],"['A Studios', 'Madhav Media', 'SP Cinemas']",https://m.media-amazon.com/images/M/MV5BNTAwNTQ1OTktMmM4ZC00YTNmLWI4MWQtNTFkNmY3YTc5MWFiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,2021-10-22,Oh Manapenne,['7.4'],['140 min'],"['Comedy, Drama, Romance']",['A wannabe businesswoman and a happy-go-lucky guy meet each other during an arranged marriage blind date but eventually team up to start a food truck on their own.'],
1409, Jan P. Matuszynski ,"[' Tomasz Zietek', ' Sandra Korzeniak', ' Jacek Braciak', ' Agnieszka Grochowska']", 391,,['Polish'],"['Poland', 'Czech Republic', 'France']","['Aurum Film', 'Les Contes modernes', 'ARTE']",https://m.media-amazon.com/images/M/MV5BMjJlMGIyODAtZmY1ZS00YWEwLWI1ODctOTAxMTA0YmJmMjZmXkEyXkFqcGdeQXVyODA0MjgyNzM@._V1_.jpg,2022-02-01,Leave No Traces,['7.1'],['160 min'],['Drama'],"['In 1983, communist Poland is shaken by the case of high school student Grzegorz Przemyk, who is beaten to death by police. The only witness of the beating becomes the number one enemy of the state.']",
1410, Tim Brown ,"[' Bill Nighy', ' Victoria Hill', ' Martin Sacks', ' Julia Billington']", 195,,['English'],"['Canada', 'Australia']","['Joker Films', 'Productivity Media']",https://m.media-amazon.com/images/M/MV5BYTQ2NjhjY2MtNDk0Zi00NTIyLTkwZTktY2U5Mzk5NDk3MmZkXkEyXkFqcGdeQXVyNTEyMjI5NA@@._V1_.jpg,2021-08-13,Buckley's Chance,['5.3'],['95 min'],['Family'],"[""A year after the loss of his father, Ridley and his mother, Gloria, move to Western Australian to live with Ridley's estranged grandfather Spencer. Once there Spencer tries to connect with ... See full summary »""]",
1411, Sreejar ,"[' Yogi Babu', ' Bhagyaraj', ' Shanthnu Bhagyaraj', ' Ravinder Chandrasekar']", 254,,['Tamil'],['India'],"['First Man Film Works', 'Libra Productions']",https://m.media-amazon.com/images/M/MV5BNGQ4MTI2ZjItODdhMC00Y2RjLWIxNjktYmE3ZWE5ZjBlNDRmXkEyXkFqcGdeQXVyMTIzMTMxNzc4._V1_.jpg,2021-12-10,Murungaikai Chips,['3.8'],['140 min'],['Drama'],['Newlywed couple Arjun (Shanthanu) and Vijayashanthi (Athulya Ravi) are looking forward to their wedding night but his grandfather Somasundaram (Bhagyaraj) enters the room with an unexpected... See full summary »'],
1412, Varun Vamsi ,"[' Anish Avunuri', ' Tanikella Bharani', ' Kalpika Ganesh', ' Srinivasa Kapavarapu']"," 2,205",,['Telugu'],['India'],"['Ananda Thoughts', 'Ananda Thoughts']",https://m.media-amazon.com/images/M/MV5BMjhhZjU3MTctYjU2NC00NTZkLWJkOGUtNDM3YmJlN2Y3Mjk0XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_.jpg,2021-10-29,Eakam,['8.4'],['125 min'],"['Adventure, Drama, Fantasy']","[""Eakam a philosophical fiction thinly based on the life of Shiva. This type of genre is never been attempted in Telugu. It's has been shot at a record span directed by a debutant B Varun ... See full summary »""]",
1413, Salomón Askenazi ,"[' Giancarlo Ruiz', ' Paulette Hernandez', ' Daniela Bascopé', ' Juan Carlos Colombo']", 34,,['Spanish'],['Mexico'],['Fosforescente'],https://m.media-amazon.com/images/M/MV5BOWYzOGYxYmMtOTgwYi00NjYzLTgwZDktNzJhYmY2M2E4NGUyXkEyXkFqcGdeQXVyMTUxMDA2MzY@._V1_.jpg,2022-01-20,El Rey de la Fiesta,['7.1'],['89 min'],"['Drama, Thriller']","['A man going through an emotional crisis takes on the identity of his brother for a week, thinking that his twin is dead.']",
1414, M. Cahill ,"[' Jena Malone', ' Robert Hunger-Bühler', ' Emily Kuroda', ' Will Rogers']", 17,,['English'],['United States'],"['Blackbird', 'Blackbird Films']",https://m.media-amazon.com/images/M/MV5BMDE2YzEyM2EtZWQ4Mi00YWRjLWE2NzEtZGViNzViNjA1MWE3XkEyXkFqcGdeQXVyMTI0MzAzMTYw._V1_.jpg,2021-01-01,Porcupine,['8.6'],['92 min'],['Drama'],['An adult woman puts herself up for adoption and forms a bond with the misanthropic patriarch of her adoptive family. Based on a true story.'],
1415, Darryl Yap ,"[' Rosanna Roces', ' Alma Moreno', ' Ara Mina', ' Maui Taylor']", 26,,"['Tagalog', 'Filipino']",['Philippines'],"['Viva Films', 'VinCentiments']",https://m.media-amazon.com/images/M/MV5BZTM4NDNlOGMtMjQzYS00NTY5LWEwN2ItMzc4OGE2ZTczZmJkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_.jpg,2021-12-03,Pornstar 2: Pangalawang putok,['5.2'],['95 min'],['Comedy'],"['The queens of bomba movies Alma Moreno, Ara Mina, Maui Taylor and Rosanna Roces are back to search for the next Philippine pornstar featuring new breed of sexy temptresses: Sab Aggabao, Cara Gonzales, Ayana Misola, Stephanie Raz.']",
1416, Fabrice Eboué ,"[' Marina Foïs', ' Fabrice Eboué', ' Jean-François Cayrey', ' Lisa Do Couto Texeira']", 365,,['French'],['France'],"['Cinéfrance Studios', 'TF1 Studio', 'Apollo Films']",https://m.media-amazon.com/images/M/MV5BZTAwNmJmZGEtNDViYy00MjhhLWFlOGQtYzMzMGM3YjE5MTVmXkEyXkFqcGdeQXVyNzI0MTY5MQ@@._V1_.jpg,2021-10-27,Some Like It Rare,['6.9'],['87 min'],"['Comedy, Horror']","[""Pascal and his wife Sophie have been running a small local butcher's shop for about twenty years. Sophie stands with great love for her customers at the cash register and Vincent cuts the ... See full summary »""]",
1417, Danny A. Abeckaser ,"[' Katie Cassidy', ' Robert Davi', ' Jackie Cruz', ' David James Elliott']", 112,,['English'],['United States'],,https://m.media-amazon.com/images/M/MV5BZjlmMmViMjktMWYyYi00NTEyLWFiNjAtMTA2MzAxNzY4ZjM3XkEyXkFqcGdeQXVyMTE4NTI5NTA@._V1_.jpg,2021-09-07,I Love Us,['5.1'],['92 min'],"['Action, Crime, Drama']",['Sammy Silver struggle to trade his criminal ways for a married life after he falls in love with a single mother.'],
1418, Mark Polonia ,"[' Jeff Kirkendall', ' Ryan Dalton', ' Jamie Morgan', ' Tim Hatch']", 136,,['English'],['United States'],['Polonia Brothers Entertainment'],https://m.media-amazon.com/images/M/MV5BMTRkMzZiZmMtMWVhZi00NmI3LWI4NzUtMDJkYTAyNjg4OWJkXkEyXkFqcGdeQXVyMjc0Nzk1Mg@@._V1_.jpg,2021-11-02,Noah's Shark,['1.5'],['71 min'],"['Action, Adventure, Horror']","[""A fame-seeking televangelist and his film crew team set out to find the fabled Noah's Ark, but discover it is guarded by both an ancient curse and a prehistoric great white shark.""]",['Not Rated']
1419, Jan Miller Corran ,"[' Isabella Hofmann', ' Max Adler', ' Adam Huss', ' Rich Ceraulo Ko']", 127,,,['United States'],['Three Women in a Box Films'],https://m.media-amazon.com/images/M/MV5BNTZlZTNlM2UtMjU1NC00YjNmLTk2MDMtN2NkNzBiZWM1Nzc4XkEyXkFqcGdeQXVyMjcxNzE1NzQ@._V1_.jpg,2021-08-24,Along Came Wanda,['8.6'],['95 min'],"['Comedy, Drama']","[""A memory jogged by a teapot from an old lover quickly turns into an adventure of discovery for Mary Beth Higgins and her new found friend Wanda as they hit the road in Wanda's RV/Soup Truck.""]",
1420, Kelsey Egan ,"[' Jessica Alexander', ' Kitty Harris', ' Adrienne Pearce', ' Hilton Pelser']", 59,,['English'],['South Africa'],"['Local Motion Pictures', 'Crave Pictures', 'Showmax']",https://m.media-amazon.com/images/M/MV5BZWEyNjNiN2ItNGRmNS00MmM0LWIxNzMtN2YyYWU2ZDgxZWM0XkEyXkFqcGdeQXVyMTE2Mjc5OTI2._V1_.jpg,2021-09-25,Glasshouse,['7.4'],['94 min'],"['Drama, Sci-Fi, Thriller']","['Confined to their glasshouse, a family survives The Shred, a toxin that erases memory. Until the sisters are seduced by a Stranger who shatters their peace and stirs a past best left buried.']",
1421, Hasith Goli ,"[' Sree Vishnu', ' Megha Akash', ' Sunaina', ' Ravi Babu']"," 1,460",,['Telugu'],['India'],"['Abhishek Aggarwal Arts', 'People Media Factory']",https://m.media-amazon.com/images/M/MV5BMjVkNTBlODYtYjZiNi00NWYwLTk1ZGQtN2E0YTIxMTM3OGJjXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg,2021-08-19,Raja Raja Chora,['7.7'],['145 min'],['Comedy'],"['Bhaskar, a Xerox shop helper and a part time burglar, whose greed for better settlement, he resorts to very risky and quick that lead him into trouble. To be with a software engineer he ... See full summary »']",
1422, Leigh Scott ,"[' Claire Coffee', ' George Stults', ' Jerry E England', ' Elizabeth Friedman']", 182,,['English'],['United States'],['Lighthouse Pictures'],https://m.media-amazon.com/images/M/MV5BYjgzYzY0YmEtYmRmOS00NzEzLWFjNGQtNTlkNDAyNDAxNGJiXkEyXkFqcGdeQXVyMTMzMjkzMg@@._V1_.jpg,2021-12-12,A New Lease on Christmas,['5.5'],['87 min'],['Romance'],['A single real estate agent falls for a handsome coffee shop owner only to discover that the job she just took requires her to evict him from his shop.'],
1423,"[' Natasha Merkulova', ' Aleksey Chupov ']","[' Yuriy Borisov', ' Timofey Tribuntsev', ' Aleksandr Yatsenko', ' Nikita Kukushkin']", 193,,['Russian'],"['Russia', 'France', 'Estonia']","['Place of Power', 'Look Film', 'Homeless Bob Production']",https://m.media-amazon.com/images/M/MV5BMDYyM2E3NmYtOGEyOS00M2FmLWI4NmItNmExNzk3MmEwNDgxXkEyXkFqcGdeQXVyMTIxNzk1NjM@._V1_.jpg,2022-04-07,Captain Volkonogov Escaped,['6.8'],['120 min'],"['Drama, Thriller']",['Fast-paced story of pre-death repentance marathon for the captain of the National Security Service (NKVD) Fyodor Volkonogov set against the backdrop of 1938 political persecutions in the USSR.'],
1424,"[' Carl Jensen IV', ' Ryan Henry Johnston', ' Ryan Kjolberg', ' Charlotte Lilt', ' Tom J. McCoy', ' Jordan Pillar ']","[' Tom Sandoval', ' Charlotte Lilt', ' Michelle Palermo', ' Michael C. Alvarez']", 384,,['English'],['United States'],['Falling Flame Pictures'],https://m.media-amazon.com/images/M/MV5BODU4MDc0ODItYWRmZC00ZDA3LWI5ODktZWJkMThlZmY4N2NlXkEyXkFqcGdeQXVyMTU3MDgyNjY@._V1_.jpg,2021-05-21,Scare Us,['4.6'],['97 min'],['Horror'],"['A chilling horror anthology comprising five short stories, penned by an unlikely group of aspiring writers, in Sugarton - a small town plagued by the apparent return of an infamous serial ... See full summary »']",['R']
